Pregunta,Ruta_Esperada,Ruta_Tomada,Acierto_Router,Faithfulness,Relevancy,Correctness,Respuesta
¿Qué día empiezan las clases en septiembre de 2025?,calendario,calendario,1,5.0,4.0,4.0,"El inicio de las clases en septiembre de 2025 varía según el tipo de estudios. A continuación, se presentan las fechas de inicio de clases para los estudiantes de grado y máster universitario:

- El periodo docente de los estudiantes de grado dará comienzo el **lunes 8 de septiembre de 2025**.
- El periodo docente de los estudiantes de máster universitario dará comienzo el **lunes 6 de octubre de 2025**.

Es importante tener en cuenta que aquellas titulaciones de máster universitario que hayan c"
¿Cuáles son los pasos exactos para anular mi matrícula?,procedimental,procedimental,1,4.0,5.0,4.0,"⚠️ Requisitos Previos: 
Antes de iniciar el proceso de anulación de matrícula, es importante tener en cuenta que la anulación puede tener consecuencias académicas y económicas. Debes revisar las fechas límite para la anulación de matrícula y los posibles efectos en tu situación académica y económica.

Para anular tu matrícula, sigue estos pasos:

1. **Revisa las fechas límite**: La anulación de matrícula ordinaria puede solicitarse hasta el 16 de septiembre de 2025 para titulaciones de grado, ha"
¿Puedo matricularme de 90 créditos en un solo curso?,consulta,normativo,0,4.0,5.0,4.0,"Según el artículo 4 de las Normas de Matrícula de Grado y Máster Universitario 2025-2026, el número máximo de créditos ECTS de los que un estudiante puede estar matriculado en cada curso académico es de 90 créditos. Sin embargo, esta limitación no afecta a las prácticas externas ni al trabajo fin de grado/máster universitario. Además, en el caso de dobles titulaciones, se puede superar este límite hasta duplicarlo.

Por lo tanto, la respuesta a tu pregunta es sí, puedes matricularte de 90 crédit"
¿Cuál es la capital de Francia?,rechazo,rechazo,1,1.0,1.0,4.0,"Lamento no poder ayudarte con esa consulta, ya que no está relacionada con trámites o normativas universitarias. La información que proporcionas sobre la capital de Francia no se encuentra en el contexto de la documentación proporcionada.

Te recomendaría contactar con un recurso de información general o un sitio web de geografía para obtener la información que buscas."
¿Cuándo es el periodo de exámenes de junio de 2026?,calendario,calendario,1,4.0,4.0,4.0,"El periodo de exámenes de junio de 2026 se refiere a varias convocatorias y asignaturas. A continuación, se presentan las fechas relevantes en una tabla para mayor claridad:

| Trámite / Evento | Fecha de Inicio | Fecha de Fin | Observaciones |
| --- | --- | --- | --- |
| Exámenes finales de asignaturas anuales y 2º cuatrimestre (títulos de grado) | 25 de mayo de 2026 | 13 de junio de 2026 | - |
| Exámenes finales de asignaturas anuales y 2º cuatrimestre (títulos de máster) | 11 de junio de 2026"
¿Hasta cuándo puedo modificar mi matrícula en el primer cuatrimestre?,calendario,calendario,1,4.0,4.0,4.0,"Para modificar tu matrícula en el primer cuatrimestre, es importante considerar los plazos establecidos por la Universidad de Sevilla. A continuación, se presentan los plazos relevantes para la modificación de matrícula:

| Trámite / Evento | Fecha de Inicio | Fecha de Fin | Observaciones |
| --- | --- | --- | --- |
| Modificación de matrícula para estudiantes de grado | 12 de enero de 2026 | 30 de enero de 2026 | A través de automatrícula |
| Modificación de matrícula para estudiantes de máster"
¿Qué documentos necesito para liquidar un viaje como personal propio de la US?,procedimental,calendario,0,4.0,5.0,4.0,"Para liquidar un viaje como personal propio de la Universidad de Sevilla (US), necesitarás presentar varios documentos. A continuación, se detallan los documentos necesarios:

| Trámite / Documento | Descripción | Observaciones |
| --- | --- | --- |
| Comisión de Servicios | Documento que autoriza el desplazamiento | Necesario para personal docente (PDI) funcionario o laboral |
| Formulario de Liquidación de Gastos | Documento para registrar los gastos del viaje | Debe ser firmado por el interes"
¿Cómo solicito el reconocimiento de créditos por actividades universitarias?,procedimental,procedimental,1,4.0,5.0,4.0,"⚠️ Requisitos Previos: 
Para solicitar el reconocimiento de créditos por actividades universitarias, es necesario estar matriculado en la Universidad de Sevilla y tener la documentación necesaria que acredite la participación en dichas actividades.

A continuación, se presentan los pasos para solicitar el reconocimiento de créditos por actividades universitarias:

1. **Reúna la documentación necesaria**: Debe reunir la documentación que acredite su participación en las actividades universitarias"
¿Qué normativa regula la permanencia de los estudiantes en la US?,normativo,normativo,1,4.0,4.0,4.0,"La normativa que regula la permanencia de los estudiantes en la Universidad de Sevilla (US) se encuentra en el Capítulo III de las Normas de Matrícula de Grado y Máster Universitario 2025-2026, específicamente en el Artículo 20, titulado ""Permanencia"".

Según el Artículo 20, el estudiante de primer curso de nuevo ingreso deberá superar, al menos, una asignatura reglada en cualquiera de las convocatorias oficiales del curso académico para poder continuar los mismos estudios. Además, se establecen"
¿Qué requisitos hay para participar en un programa de movilidad internacional?,normativo,consulta,0,4.0,3.0,3.0,"Excelente pregunta. Para poder guiarte adecuadamente, necesito saber un poco más sobre tu situación. ¿Eres estudiante de grado, máster o doctorado? Esto es importante porque la normativa varía dependiendo de la titulación y el tipo de movilidad que estés interesado en realizar."
¿Cómo se calcula la puntuación del apartado de experiencia docente en el baremo?,baremo,consulta,0,4.0,2.0,3.0,"Para poder guiarte en la respuesta correcta, necesitaría saber un poco más sobre tu situación específica. ¿Podrías decirme si estás solicitando la baremacín o el baremacín de renovación?"
¿Cuáles son los requisitos mínimos para superar la fase de evaluación de méritos?,baremo,normativo,0,5.0,5.0,4.0,"Para superar la fase de evaluación de méritos, los solicitantes deben cumplir con los requisitos mínimos establecidos en la normativa. Según el documento ""CRITERIOS DE EVALUACIÓN Y REQUISITOS MÍNIMOS.pdf"" (Página 2), el resultado de la evaluación será favorable cuando el solicitante obtenga la suficiencia, entendida como un mínimo de 50 puntos sobre los 100 posibles, en cada uno de los bloques establecidos: actividad investigadora, de transferencia e intercambio del conocimiento, actividad docen"
¿Cómo se me aplica la beca si me matriculo a tiempo parcial?,consulta,consulta,1,4.0,3.0,4.0,"Para poder guiarte en la aplicación de la beca, necesitaría saber si estás cursando un grado o un máster. La normativa varía dependiendo de los créditos de tu titulación. ¿Podrías indicarme si estás cursando un grado o un máster?"
¿Me recomiendas un buen restaurante cerca de la facultad?,rechazo,rechazo,1,4.0,3.0,4.0,"Lamento no poder ayudarte con esa consulta, ya que no está relacionada con trámites o normativas universitarias. Sin embargo, te recomendaría contactar con el departamento de vida universitaria o con la oficina de estudiantes de tu facultad, ya que ellos podrían tener información sobre los mejores restaurantes cerca de la facultad o recomendaciones de lugares para comer. También podrías buscar en línea o en aplicaciones de reservas de restaurantes para encontrar opciones cerca de ti."
