Pregunta,Ruta_Esperada,Ruta_Tomada,Acierto_Router,Faithfulness,Relevancy,Correctness,Respuesta
¿Qué día empiezan las clases en septiembre de 2025?,calendario,,0,0.0,0.0,0.0,
¿Cuándo es el periodo de exámenes de junio de 2026?,calendario,,0,0.0,0.0,0.0,
¿Hasta cuándo puedo modificar mi matrícula en el primer cuatrimestre?,calendario,,0,0.0,0.0,0.0,
¿Cuándo empieza y termina el periodo de matrícula ordinaria de julio de 2025?,calendario,,0,0.0,0.0,0.0,
¿Cuál es la fecha límite para entregar las actas de la convocatoria de noviembre?,calendario,,0,0.0,0.0,0.0,
¿Cuáles son los pasos exactos para anular mi matrícula?,procedimental,,0,0.0,0.0,0.0,
¿Qué documentos necesito para liquidar un viaje como personal propio de la US?,procedimental,,0,0.0,0.0,0.0,
¿Cómo solicito el reconocimiento de créditos por actividades universitarias?,procedimental,,0,0.0,0.0,0.0,
¿Cómo me matriculo por primera vez a través de MATRUX?,procedimental,,0,0.0,0.0,0.0,
¿Qué pasos debo seguir para presentar la liquidación de un viaje por el Registro Electrónico General?,procedimental,,0,0.0,0.0,0.0,
¿Qué normativa regula la permanencia de los estudiantes en la US?,normativo,,0,0.0,0.0,0.0,
¿Cuántos créditos necesito aprobar como mínimo para no perder mi plaza?,normativo,,0,0.0,0.0,0.0,
¿Qué requisitos hay para participar en un programa de movilidad internacional?,normativo,,0,0.0,0.0,0.0,
¿Puedo matricularme de 90 créditos en un solo curso?,normativo,,0,0.0,0.0,0.0,
¿Qué decreto andaluz aprobó los nuevos Estatutos de la Universidad de Sevilla?,normativo,,0,0.0,0.0,0.0,
¿Qué normativa regula la contratación de profesorado ayudante doctor y asociado?,normativo,,0,0.0,0.0,0.0,
¿Cómo se calcula la puntuación del apartado de experiencia docente en el baremo?,baremo,,0,0.0,0.0,0.0,
¿Cuáles son los requisitos mínimos para superar la fase de evaluación de méritos?,baremo,,0,0.0,0.0,0.0,
¿Cuántos puntos se otorgan por la dirección de una tesis doctoral según el baremo?,baremo,,0,0.0,0.0,0.0,
¿Qué puntuación máxima puedo obtener por un artículo indexado en JCR o SJR?,baremo,,0,0.0,0.0,0.0,
¿Qué méritos y competencias se exigen para la acreditación como Catedrático de Universidad?,baremo,,0,0.0,0.0,0.0,
"Quiero convalidar asignaturas de mi ciclo formativo de FP en mi nuevo grado, ¿cómo lo hago?",consulta,,0,0.0,0.0,0.0,
¿Puedo solicitar la beca MEC si estoy matriculado a tiempo parcial?,consulta,,0,0.0,0.0,0.0,
¿Cuál es la capital de Francia?,rechazo,rechazo,1,0.0,0.0,0.0,
¿Me recomiendas un buen restaurante cerca de la facultad?,rechazo,rechazo,1,5.0,1.0,1.0,No hay información previa en el historial de conversación. ¿Puedo ayudarte con algo?
¿Qué opinas sobre el cambio climático?,rechazo,rechazo,1,5.0,1.0,4.0,¡Hola! Me alegra poder ayudarte con cualquier duda o consulta que tengas relacionada con la Universidad de Sevilla. ¿En qué puedo ayudarte hoy?
¿Puedes ayudarme con un ejercicio de cálculo diferencial?,rechazo,rechazo,1,5.0,1.0,2.0,No hay información previa en el historial de conversación. ¿En qué puedo ayudarte?
¿Hay algún evento o fiesta en la universidad esta semana?,rechazo,rechazo,1,5.0,2.0,2.0,No hay información previa en el historial de conversación. ¿En qué puedo ayudarte?
¿Cuándo son los días festivos del calendario académico 2025-2026?,calendario,,0,0.0,0.0,0.0,
¿En qué periodo puedo solicitar convalidaciones de asignaturas?,calendario,,0,0.0,0.0,0.0,
¿Cómo genero el CVN en la plataforma Bareprof para mi solicitud?,procedimental,,0,0.0,0.0,0.0,
¿Cómo puedo salir de la aplicación MATRUX sin grabar ni confirmar los datos?,procedimental,,0,0.0,0.0,0.0,
¿Qué opciones de movilidad internacional ofrece la US?,normativo,,0,0.0,0.0,0.0,
¿Cuántos días tengo para firmar los documentos en SEVIUS después de matricularme?,calendario,,0,0.0,0.0,0.0,
¿Puede un personal externo que forma parte de un tribunal de tesis organizar su viaje de forma libre?,normativo,,0,0.0,0.0,0.0,
